Year,ID,LaborStatus,MaritalStatus,NumChildren,Age,HighestSchoolCompleted,Sex,Race,ChildhoodFamilyIncome,TotalFamilyIncome,RespondentIncome,PoliticalParty,OpinionOfIncome,SexualOrientation
2014,352,School,Married,2,70.000000,16,Male,White,Average,$25000 or more,Not applicable,"Ind,near rep",Above average,Heterosexual or straight
2014,353,Working fulltime,Married,3,53.000000,13,Female,White,Above average,$25000 or more,$20000 - 24999,Other party,Above average,Heterosexual or straight
2014,354,Retired,Married,0,65.000000,12,Male,White,Average,$25000 or more,Not applicable,Independent,Below average,Heterosexual or straight
2014,355,Working fulltime,Married,0,29.000000,18,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,356,Working parttime,Never married,0,28.000000,13,Male,Other,Far below average,Lt $1000,Lt $1000,Not str democrat,Below average,Heterosexual or straight
2014,357,Working fulltime,Married,2,63.000000,15,Male,White,Below average,Refused,Refused,Strong republican,Average,No answer
2014,358,Working parttime,Married,2,35.000000,12,Female,White,Above average,$25000 or more,$20000 - 24999,Independent,Average,Heterosexual or straight
2014,359,Working fulltime,Never married,4,35.000000,11,Female,White,Far below average,$5000 to 5999,$5000 to 5999,Not str democrat,Far below average,Not applicable
2014,360,Other,Married,1,50.000000,16,Female,White,Above average,$25000 or more,$10000 - 14999,Strong democrat,Average,Heterosexual or straight
2014,361,Working parttime,Widowed,1,57.000000,12,Female,White,Below average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,362,Working fulltime,Divorced,1,40.000000,12,Male,White,Below average,$25000 or more,$25000 or more,Strong democrat,Far above average,No answer
2014,363,Working fulltime,Married,0,32.000000,17,Female,White,Above average,$25000 or more,$25000 or more,Not str democrat,Above average,"Gay, lesbian, or homosexual"
2014,364,Working fulltime,Never married,0,30.000000,16,Female,White,Above average,$25000 or more,$25000 or more,Strong republican,Average,Heterosexual or straight
2014,365,Working fulltime,Never married,0,30.000000,16,Female,White,Above average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,366,Working fulltime,Married,3,49.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,367,Working fulltime,Married,1,58.000000,15,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,368,Working fulltime,Never married,0,24.000000,16,Female,White,Above average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,369,Working fulltime,Married,5,49.000000,16,Female,White,Below average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,370,Working fulltime,Married,1,66.000000,12,Male,White,Don't know,Refused,$20000 - 24999,Independent,No answer,Not applicable
2014,371,Temp not working,Divorced,2,43.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,372,Working fulltime,Married,2,67.000000,20,Male,Other,Far below average,$25000 or more,$25000 or more,Strong democrat,Far above average,Heterosexual or straight
2014,373,Retired,Married,2,69.000000,16,Female,White,Average,$25000 or more,Not applicable,Strong republican,Average,Heterosexual or straight
2014,374,Working fulltime,Married,3,65.000000,15,Male,White,Below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,375,Working fulltime,Married,0,52.000000,12,Male,White,Far below average,$25000 or more,$25000 or more,Strong republican,Above average,Heterosexual or straight
2014,376,Working parttime,Married,2,63.000000,16,Male,White,Below average,$25000 or more,$25000 or more,"Ind,near dem",Far above average,Heterosexual or straight
2014,377,Working fulltime,Married,3,60.000000,13,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,378,School,Never married,0,20.000000,13,Female,White,Average,Don't know,Not applicable,"Ind,near rep",Average,Not applicable
2014,379,Working fulltime,Married,4,49.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,380,Working fulltime,Married,1,36.000000,18,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,381,Working parttime,Never married,0,23.000000,14,Male,Black,Average,Don't know,Don't know,Strong democrat,Average,"Gay, lesbian, or homosexual"
2014,382,Working fulltime,Never married,0,19.000000,10,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,383,Working parttime,Married,4,57.000000,20,Male,White,Below average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,384,Keeping house,Married,NA,33.000000,12,Female,Other,Far below average,$20000 - 24999,Not applicable,Independent,Average,Heterosexual or straight
2014,385,Working fulltime,Never married,1,39.000000,6,Male,Other,Far below average,Don't know,$25000 or more,Not str democrat,Below average,Heterosexual or straight
2014,386,Working fulltime,Married,2,33.000000,12,Male,Other,Far below average,$25000 or more,$25000 or more,Independent,Below average,Heterosexual or straight
2014,387,Working fulltime,Never married,1,38.000000,15,Female,Black,Average,$25000 or more,$25000 or more,Not str democrat,Below average,Heterosexual or straight
2014,388,"Unempl, laid off",Never married,4,57.000000,12,Female,Black,Below average,$25000 or more,$25000 or more,Not str democrat,Far below average,Heterosexual or straight
2014,389,"Unempl, laid off",Never married,0,23.000000,11,Male,White,Average,$3000 to 3999,$3000 to 3999,Not str democrat,Far below average,Bisexual
2014,390,"Unempl, laid off",Married,5,46.000000,12,Female,Black,Far below average,$25000 or more,Not applicable,Strong democrat,Far below average,Heterosexual or straight
2014,391,"Unempl, laid off",Never married,0,23.000000,13,Female,Black,Average,Lt $1000,Not applicable,"Ind,near dem",Far below average,Heterosexual or straight
2014,392,Working fulltime,Divorced,3,55.000000,12,Male,Black,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,393,Working fulltime,Never married,0,22.000000,14,Female,Black,Average,$25000 or more,$25000 or more,Not str democrat,Above average,Bisexual
2014,394,Working parttime,Widowed,6,70.000000,18,Female,Black,Average,$25000 or more,$15000 - 19999,Strong democrat,Average,Heterosexual or straight
2014,395,Working fulltime,Never married,0,27.000000,15,Male,Black,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,396,Working parttime,Divorced,2,58.000000,16,Female,Black,Far below average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,397,"Unempl, laid off",Separated,4,55.000000,14,Female,Black,Average,$25000 or more,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,398,Working fulltime,Divorced,2,36.000000,20,Female,Black,Below average,$25000 or more,$25000 or more,"Ind,near dem",Far below average,Heterosexual or straight
2014,399,Keeping house,Divorced,0,65.000000,12,Female,White,Average,Refused,Not applicable,Independent,Don't know,Heterosexual or straight
2014,400,Working fulltime,Never married,0,64.000000,16,Female,White,Average,$25000 or more,Refused,Not str democrat,Above average,Heterosexual or straight
2014,401,Retired,Married,3,41.000000,12,Female,White,Below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,402,Working fulltime,Divorced,3,58.000000,12,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near rep",Above average,Heterosexual or straight
2014,403,Working fulltime,Married,4,52.000000,14,Female,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,404,"Unempl, laid off",Divorced,2,63.000000,20,Female,White,Below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,405,Working fulltime,Married,2,70.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,406,Working fulltime,Never married,0,63.000000,20,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Far below average,Heterosexual or straight
2014,407,Working fulltime,Married,1,31.000000,16,Female,White,Far above average,$25000 or more,$25000 or more,Other party,Above average,Heterosexual or straight
2014,408,Retired,Married,3,88.000000,20,Male,White,Average,$25000 or more,Not applicable,Strong democrat,Far below average,Heterosexual or straight
2014,409,Working fulltime,Married,1,60.000000,20,Female,Black,Below average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,410,Working fulltime,Married,0,34.000000,16,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,411,Working fulltime,Married,1,35.000000,19,Male,White,Far above average,$25000 or more,$25000 or more,"Ind,near dem",Far above average,Heterosexual or straight
2014,412,Working fulltime,Never married,3,72.000000,13,Female,White,Don't know,$25000 or more,$20000 - 24999,Strong democrat,Below average,Heterosexual or straight
2014,413,Retired,Widowed,6,77.000000,12,Female,White,Average,$25000 or more,Not applicable,Strong republican,Average,Heterosexual or straight
2014,414,Working parttime,Married,4,49.000000,12,Male,White,Below average,$25000 or more,$25000 or more,Not str republican,Below average,Heterosexual or straight
2014,415,Working fulltime,Divorced,1,38.000000,17,Female,Black,Far below average,$25000 or more,$25000 or more,Not str democrat,Average,Not applicable
2014,416,Working fulltime,Never married,0,40.000000,16,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,417,Working parttime,Married,3,37.000000,16,Female,Black,Far above average,$25000 or more,$20000 - 24999,Not str democrat,Above average,Heterosexual or straight
2014,418,Working fulltime,Married,0,35.000000,17,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,419,Working fulltime,Widowed,1,62.000000,13,Female,Black,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,420,Working fulltime,Never married,0,32.000000,13,Male,Black,Far below average,$25000 or more,$25000 or more,Not str democrat,Far above average,Heterosexual or straight
2014,421,Working parttime,Married,2,70.000000,16,Male,White,Below average,$25000 or more,$5000 to 5999,Strong republican,Don't know,Heterosexual or straight
2014,422,Working fulltime,Never married,2,44.000000,20,Male,Other,Average,$25000 or more,$1000 to 2999,Other party,Below average,Heterosexual or straight
2014,423,Working fulltime,Married,2,60.000000,19,Male,White,Average,Refused,Refused,"Ind,near dem",Average,Not applicable
2014,424,Working fulltime,Married,1,57.000000,20,Female,Other,Far below average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,425,Keeping house,Never married,0,55.000000,20,Male,White,Above average,$25000 or more,Not applicable,Strong republican,Below average,Heterosexual or straight
2014,426,Working fulltime,Married,0,39.000000,15,Male,Black,Below average,$25000 or more,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,427,Working fulltime,Married,7,52.000000,15,Male,Black,Below average,$25000 or more,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,428,Temp not working,Never married,0,22.000000,10,Female,Black,Average,$8000 to 9999,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,429,Working parttime,Separated,2,42.000000,9,Male,White,Below average,$20000 - 24999,$20000 - 24999,Not str democrat,Below average,Heterosexual or straight
2014,430,Working fulltime,Never married,0,25.000000,16,Male,Black,Below average,$25000 or more,$7000 to 7999,Not str democrat,Below average,Heterosexual or straight
2014,431,School,Never married,0,42.000000,12,Female,Black,Average,$15000 - 19999,$15000 - 19999,Independent,Don't know,Heterosexual or straight
2014,432,Keeping house,Married,3,46.000000,5,Female,Black,Average,$25000 or more,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,433,Keeping house,Widowed,3,89 or older,12,Female,White,Average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,434,School,Never married,0,18.000000,11,Female,Black,Average,$25000 or more,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,435,Working fulltime,Married,0,41.000000,11,Male,White,Below average,$25000 or more,$25000 or more,"Ind,near rep",Above average,Heterosexual or straight
2014,436,Working fulltime,Married,0,56.000000,18,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Far above average,"Gay, lesbian, or homosexual"
2014,437,Working fulltime,Married,1,45.000000,12,Male,White,Average,$25000 or more,$10000 - 14999,Not str republican,Average,Heterosexual or straight
2014,438,Working fulltime,Never married,0,25.000000,16,Female,White,Above average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,439,Working fulltime,Never married,0,24.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,440,Working parttime,Never married,0,25.000000,16,Female,Other,Average,$25000 or more,Lt $1000,"Ind,near dem",Average,Heterosexual or straight
2014,441,Retired,Never married,0,66.000000,16,Female,White,Average,$25000 or more,Not applicable,Strong democrat,Average,"Gay, lesbian, or homosexual"
2014,442,Working fulltime,Married,0,36.000000,20,Male,White,Above average,$25000 or more,$3000 to 3999,Not str democrat,Far above average,Heterosexual or straight
2014,443,Working fulltime,Never married,0,65.000000,12,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,444,Working fulltime,Never married,0,44.000000,17,Male,White,Average,$25000 or more,$25000 or more,"Ind,near rep",Below average,Heterosexual or straight
2014,445,Working parttime,Widowed,0,78.000000,11,Male,White,Average,$20000 - 24999,$8000 to 9999,Independent,Average,Not applicable
2014,446,Working parttime,Married,2,59.000000,20,Male,White,Average,$25000 or more,$25000 or more,Strong democrat,Far below average,Heterosexual or straight
2014,447,Working fulltime,Married,2,65.000000,17,Male,White,Above average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,448,Keeping house,Married,4,41.000000,17,Female,White,Average,Refused,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,449,Working fulltime,Married,0,60.000000,20,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,450,Working fulltime,Married,1,50.000000,16,Male,Other,Above average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,451,Retired,Never married,0,66.000000,16,Male,White,Below average,$10000 - 14999,Not applicable,Strong democrat,Below average,Heterosexual or straight
2014,452,Other,Divorced,NA,65.000000,16,Male,White,Average,$10000 - 14999,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,453,School,Married,0,31.000000,19,Male,Black,Far below average,Don't know,Don't know,"Ind,near dem",Average,Heterosexual or straight
2014,454,Working fulltime,Married,0,32.000000,20,Male,White,Above average,$25000 or more,$20000 - 24999,Not str democrat,Above average,Heterosexual or straight
2014,455,Working fulltime,Married,0,28.000000,16,Male,White,Far above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,456,School,Divorced,1,29.000000,12,Female,Black,Below average,$15000 - 19999,$15000 - 19999,Strong democrat,Below average,Heterosexual or straight
2014,457,Retired,Married,1,71.000000,18,Male,White,Below average,$25000 or more,Not applicable,Not str republican,Far below average,Heterosexual or straight
2014,458,Working fulltime,Married,0,44.000000,16,Female,White,Average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,459,Working fulltime,Never married,1,31.000000,10,Male,White,Below average,$25000 or more,Not applicable,Independent,Below average,Heterosexual or straight
2014,460,Retired,Married,0,65.000000,13,Male,White,Average,$10000 - 14999,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,461,Retired,Married,2,72.000000,17,Male,White,Below average,$25000 or more,Not applicable,Not str republican,Average,Heterosexual or straight
2014,462,Working fulltime,Married,2,45.000000,18,Female,White,Above average,$25000 or more,$15000 - 19999,"Ind,near rep",Above average,Heterosexual or straight
2014,463,School,Never married,0,19.000000,8,Male,White,Far below average,$6000 to 6999,Not applicable,Independent,Far below average,Heterosexual or straight
2014,464,Working parttime,Never married,0,23.000000,11,Male,White,Above average,Refused,Not applicable,"Ind,near dem",Average,Heterosexual or straight
2014,465,"Unempl, laid off",Divorced,2,55.000000,10,Male,Black,Above average,$4000 to 4999,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,466,Keeping house,Widowed,5,74.000000,12,Female,White,Below average,$8000 to 9999,$8000 to 9999,Strong democrat,Below average,Heterosexual or straight
2014,467,Working fulltime,Married,0,60.000000,12,Male,Other,Don't know,$10000 - 14999,$10000 - 14999,Strong democrat,Below average,Heterosexual or straight
2014,468,"Unempl, laid off",Never married,0,38.000000,9,Male,White,Below average,$3000 to 3999,Not applicable,Strong democrat,Below average,Heterosexual or straight
2014,469,Retired,Widowed,2,75.000000,9,Male,White,Average,$10000 - 14999,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,470,Working parttime,Divorced,0,55.000000,15,Female,White,Average,$20000 - 24999,$20000 - 24999,Independent,Below average,Heterosexual or straight
2014,471,Working fulltime,Never married,0,28.000000,16,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,472,Retired,Married,4,75.000000,7,Male,White,Far below average,$25000 or more,Not applicable,Not str democrat,Average,Not applicable
2014,473,Keeping house,Married,2,28.000000,14,Female,Black,Far below average,$25000 or more,Not applicable,Independent,Below average,Heterosexual or straight
2014,474,Working fulltime,Never married,0,24.000000,17,Female,White,Far below average,$25000 or more,$25000 or more,"Ind,near dem",Below average,Heterosexual or straight
2014,475,"Unempl, laid off",Divorced,1,53.000000,14,Female,White,Average,$6000 to 6999,Not applicable,Not str democrat,Far below average,Heterosexual or straight
2014,476,Working fulltime,Divorced,1,40.000000,14,Female,White,Above average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,477,Working fulltime,Married,2,55.000000,16,Female,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,478,Retired,Married,3,70.000000,12,Male,White,Average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,479,Working fulltime,Divorced,3,52.000000,16,Female,White,Above average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,480,Working fulltime,Married,4,63.000000,13,Male,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,481,Working fulltime,Married,2,69.000000,16,Female,White,Below average,Refused,Refused,"Ind,near rep",Above average,Heterosexual or straight
2014,482,Working fulltime,Married,2,38.000000,17,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,483,"Unempl, laid off",Never married,0,63.000000,16,Male,White,Far below average,$25000 or more,Not applicable,Independent,Below average,Dont know
2014,484,"Unempl, laid off",No answer,0,43.000000,19,Male,White,Below average,$10000 - 14999,Not applicable,Not str republican,Far below average,Heterosexual or straight
2014,485,Working fulltime,Never married,3,31.000000,12,Male,White,Below average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,486,Working fulltime,Married,2,60.000000,16,Female,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,487,Working fulltime,Divorced,3,59.000000,16,Male,White,Far above average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,488,Working fulltime,Married,2,54.000000,18,Female,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,489,Working fulltime,Married,2,38.000000,16,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Far above average,Heterosexual or straight
2014,490,Working fulltime,Married,2,47.000000,18,Female,White,Below average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,491,Working fulltime,Married,0,54.000000,16,Female,Other,Average,Refused,Refused,Not str democrat,Average,Heterosexual or straight
2014,492,Working fulltime,Never married,0,25.000000,16,Male,White,Below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,493,Keeping house,Never married,2,34.000000,12,Female,Other,Average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,494,Retired,Married,2,54.000000,18,Female,White,Far below average,$25000 or more,Not applicable,Strong democrat,Far above average,Heterosexual or straight
2014,495,Working fulltime,Married,0,57.000000,18,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,496,Working parttime,Never married,0,21.000000,14,Female,White,Average,$10000 - 14999,$10000 - 14999,"Ind,near dem",Average,Heterosexual or straight
2014,497,Working fulltime,Never married,2,66.000000,12,Male,White,Above average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,498,Retired,Married,3,69.000000,12,Male,White,Below average,$25000 or more,Not applicable,Strong democrat,Average,Heterosexual or straight
2014,499,Working fulltime,Married,2,50.000000,17,Female,Other,Below average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,500,Working fulltime,Married,2,65.000000,13,Female,Other,Above average,$25000 or more,$25000 or more,Independent,Below average,Heterosexual or straight
2014,501,Retired,Married,4,74.000000,19,Male,White,Above average,$25000 or more,$25000 or more,Strong democrat,Far above average,Heterosexual or straight
2014,502,Retired,Married,2,68.000000,16,Male,White,Above average,$25000 or more,Not applicable,Not str republican,Far above average,Heterosexual or straight
2014,503,Working fulltime,Divorced,1,65.000000,18,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,504,Working fulltime,Married,2,54.000000,16,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,505,Working parttime,Widowed,2,63.000000,16,Male,White,Far below average,$25000 or more,$25000 or more,Strong democrat,Far below average,Heterosexual or straight
2014,506,Working fulltime,Divorced,1,66.000000,18,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,507,Keeping house,Married,2,40.000000,16,Female,Other,Far below average,$25000 or more,Not applicable,"Ind,near rep",Above average,Heterosexual or straight
2014,508,Retired,Divorced,3,71.000000,16,Male,Other,Far below average,$25000 or more,$25000 or more,"Ind,near rep",Above average,Heterosexual or straight
2014,509,Working fulltime,Married,3,36.000000,9,Male,Other,Above average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,510,Working fulltime,Divorced,2,58.000000,16,Female,Other,Far below average,Refused,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,511,Working fulltime,Divorced,2,37.000000,15,Female,Black,Far above average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,512,Working fulltime,Divorced,2,51.000000,15,Female,Black,Average,Refused,Refused,"Ind,near dem",Average,Heterosexual or straight
2014,513,Retired,Divorced,5,60.000000,17,Female,Other,Below average,Refused,Not applicable,Strong democrat,Below average,No answer
2014,514,Working fulltime,Never married,1,34.000000,13,Female,Black,Far below average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,515,Keeping house,Divorced,1,34.000000,20,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Average,No answer
2014,516,Working fulltime,Never married,0,69.000000,16,Female,White,Average,$25000 or more,$25000 or more,Other party,Below average,"Gay, lesbian, or homosexual"
2014,517,Retired,Married,2,68.000000,14,Female,Black,Average,$25000 or more,$10000 - 14999,Strong democrat,Below average,Heterosexual or straight
2014,518,Working fulltime,Married,3,32.000000,13,Male,Black,Below average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,519,Retired,Married,0,74.000000,12,Female,White,Average,$25000 or more,Not applicable,Strong republican,Average,Heterosexual or straight
2014,520,Working fulltime,Never married,3,31.000000,9,Male,Other,Far below average,$20000 - 24999,$20000 - 24999,Independent,Below average,Heterosexual or straight
2014,521,Working fulltime,Married,0,56.000000,16,Female,Other,Below average,$25000 or more,$4000 to 4999,"Ind,near rep",Average,Heterosexual or straight
2014,522,Working fulltime,Never married,1,37.000000,16,Female,Black,Far below average,$25000 or more,$25000 or more,Not str democrat,Below average,Heterosexual or straight
2014,523,Retired,Married,1,50.000000,14,Male,White,Above average,$25000 or more,Not applicable,Not str democrat,Above average,Heterosexual or straight
2014,524,"Unempl, laid off",Married,0,63.000000,12,Male,White,Average,$25000 or more,$20000 - 24999,Strong democrat,Above average,Heterosexual or straight
2014,525,Working fulltime,Never married,0,45.000000,14,Female,Black,Above average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,526,Working fulltime,Married,2,50.000000,10,Male,White,Average,$25000 or more,$25000 or more,Other party,Below average,Heterosexual or straight
2014,527,School,Never married,0,23.000000,13,Male,Other,Average,$25000 or more,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,528,Working fulltime,Never married,0,21.000000,12,Male,Other,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,529,Working fulltime,Never married,0,60.000000,12,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,530,Working fulltime,Married,0,40.000000,12,Male,Other,Average,$25000 or more,$25000 or more,Strong democrat,Average,Bisexual
2014,531,Working fulltime,Never married,0,28.000000,17,Male,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,532,Working parttime,Never married,0,43.000000,20,Female,White,Below average,$25000 or more,$25000 or more,Independent,Average,Bisexual
2014,533,School,Never married,0,22.000000,16,Male,Other,Far below average,$25000 or more,Not applicable,Independent,Below average,Bisexual
2014,534,Working fulltime,Never married,5,41.000000,6,Female,White,Far below average,$25000 or more,$15000 - 19999,Independent,Below average,Heterosexual or straight
2014,535,Working fulltime,Married,0,29.000000,18,Male,Other,Average,$25000 or more,$25000 or more,"Ind,near rep",Above average,Heterosexual or straight
2014,536,Working parttime,Never married,0,22.000000,11,Male,White,Average,$25000 or more,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,537,Working parttime,Married,1,33.000000,12,Female,Other,Average,$25000 or more,Lt $1000,"Ind,near rep",Below average,Heterosexual or straight
2014,538,Working fulltime,Never married,1,42.000000,17,Female,White,Above average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,539,Working fulltime,Never married,0,29.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Not str democrat,Above average,"Gay, lesbian, or homosexual"
2014,540,Retired,Married,2,71.000000,14,Female,White,Below average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,541,Working fulltime,Married,3,44.000000,20,Male,White,Far above average,$25000 or more,$25000 or more,"Ind,near dem",Far above average,Heterosexual or straight
2014,542,Retired,Married,2,61.000000,12,Male,White,Below average,Refused,Not applicable,Not str democrat,Average,Not applicable
2014,543,Retired,Widowed,4,80.000000,13,Male,White,Average,$20000 - 24999,Not applicable,Strong republican,Below average,Heterosexual or straight
2014,544,Working fulltime,Married,0,30.000000,16,Female,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,545,Working fulltime,Married,1,33.000000,12,Male,White,Average,Don't know,$25000 or more,Independent,Average,Heterosexual or straight
2014,546,Retired,Divorced,3,69.000000,16,Male,White,Above average,$25000 or more,$20000 - 24999,Strong democrat,Above average,Heterosexual or straight
2014,547,Working parttime,Married,3,37.000000,15,Female,White,Average,$25000 or more,$10000 - 14999,Independent,Average,Bisexual
2014,548,Retired,Married,2,70.000000,16,Male,White,Below average,$25000 or more,Not applicable,Not str democrat,Far above average,Heterosexual or straight
2014,549,Working parttime,Divorced,3,64.000000,16,Female,White,Above average,$25000 or more,$8000 to 9999,Strong republican,Above average,Heterosexual or straight
2014,550,Retired,Divorced,1,76.000000,18,Female,White,Above average,$20000 - 24999,Not applicable,Strong democrat,Below average,No answer
2014,551,Working parttime,Married,2,76.000000,14,Female,White,Average,Refused,Refused,Independent,Average,Heterosexual or straight
2014,552,Working fulltime,Divorced,2,50.000000,17,Male,White,Above average,Refused,Refused,Not str democrat,Above average,Heterosexual or straight
2014,553,Keeping house,Married,3,38.000000,16,Female,Other,Average,$25000 or more,$25000 or more,"Ind,near rep",Below average,Heterosexual or straight
2014,554,Retired,Married,0,77.000000,16,Female,Other,Below average,$25000 or more,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,555,Working fulltime,Married,2,49.000000,12,Female,Other,Above average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,556,Working fulltime,Divorced,2,43.000000,10,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,557,Keeping house,Married,0,49.000000,14,Female,White,Average,$25000 or more,Lt $1000,Strong republican,Average,Heterosexual or straight
